date,WB country,% monthly_hashrate PH/s
9/1/19 0:00,Mainland China,0.755305752
9/1/19 0:00,Philippines,1.00E-05
9/1/19 0:00,Turkmenistan,1.03E-05
9/1/19 0:00,Angola,1.29E-05
9/1/19 0:00,Bangladesh,1.34E-05
9/1/19 0:00,Ghana,1.36E-05
9/1/19 0:00,Croatia,1.62E-05
9/1/19 0:00,Slovenia,1.91E-05
9/1/19 0:00,Seychelles,2.00E-05
9/1/19 0:00,New Zealand,2.29E-05
9/1/19 0:00,Iraq,2.35E-05
9/1/19 0:00,Qatar,2.72E-05
9/1/19 0:00,Costa Rica,2.92E-05
9/1/19 0:00,Denmark,3.15E-05
9/1/19 0:00,Israel,7.99E-06
9/1/19 0:00,Japan,3.65E-05
9/1/19 0:00,Saudi Arabia,4.32E-05
9/1/19 0:00,Belgium,4.37E-05
9/1/19 0:00,Andorra,4.98E-05
9/1/19 0:00,Montenegro,5.50E-05
9/1/19 0:00,Finland,6.27E-05
9/1/19 0:00,Lebanon,6.44E-05
9/1/19 0:00,Syria,7.08E-05
9/1/19 0:00,Vietnam,7.37E-05
9/1/19 0:00,Albania,7.44E-05
9/1/19 0:00,Myanmar,7.87E-05
9/1/19 0:00,Zimbabwe,8.05E-05
9/1/19 0:00,Slovakia,8.12E-05
9/1/19 0:00,Argentina,8.41E-05
9/1/19 0:00,Australia,3.97E-05
9/1/19 0:00,Bahrain,7.85E-06
9/1/19 0:00,Jordan,6.80E-06
9/1/19 0:00,Tajikistan,6.49E-06
9/1/19 0:00,Nepal,0
9/1/19 0:00,Jamaica,0
9/1/19 0:00,Cambodia,0
9/1/19 0:00,Kenya,5.01E-12
9/1/19 0:00,Cote D'Ivoire,1.65E-10
9/1/19 0:00,Mozambique,2.41E-10
9/1/19 0:00,Cyprus,4.40E-08
9/1/19 0:00,Democratic Republic of the Congo,7.55E-08
9/1/19 0:00,British Virgin Islands,7.70E-08
9/1/19 0:00,Nicaragua,8.94E-08
9/1/19 0:00,Tunisia,3.53E-07
9/1/19 0:00,Sri Lanka,8.04E-07
9/1/19 0:00,Lesotho,1.14E-06
9/1/19 0:00,Ecuador,1.41E-06
9/1/19 0:00,Afghanistan,2.00E-06
9/1/19 0:00,Curacao,2.02E-06
9/1/19 0:00,Bolivia,2.24E-06
9/1/19 0:00,Luxembourg,2.35E-06
9/1/19 0:00,Uruguay,2.38E-06
9/1/19 0:00,Morocco,2.45E-06
9/1/19 0:00,Cameroon,2.47E-06
9/1/19 0:00,Malawi,2.81E-06
9/1/19 0:00,Panama,3.25E-06
9/1/19 0:00,Chile,3.39E-06
9/1/19 0:00,Pakistan,4.23E-06
9/1/19 0:00,Nigeria,4.55E-06
9/1/19 0:00,Uganda,4.64E-06
9/1/19 0:00,Algeria,5.18E-06
9/1/19 0:00,Guatemala,6.08E-06
9/1/19 0:00,Sweden,8.78E-05
9/1/19 0:00,Italy,9.08E-05
9/1/19 0:00,Ireland,8.30E-06
9/1/19 0:00,Hungary,9.55E-05
9/1/19 0:00,Romania,0.00045943
9/1/19 0:00,Kuwait,0.000513845
9/1/19 0:00,United Arab Emirates,0.000578676
9/1/19 0:00,Trinidad and Tobago,0.000772804
9/1/19 0:00,Taiwan,0.000804671
9/1/19 0:00,Brunei,0.000851345
9/1/19 0:00,Ethiopia,0.000920928
9/1/19 0:00,United Kingdom,0.001022544
9/1/19 0:00,Netherlands,0.001047043
9/1/19 0:00,Uzbekistan,0.001073707
9/1/19 0:00,Iceland,0.001137191
9/1/19 0:00,France,0.001287933
9/1/19 0:00,Mongolia,0.001438564
9/1/19 0:00,Armenia,0.001634599
9/1/19 0:00,Kyrgyzstan,0.001707988
9/1/19 0:00,Thailand,0.002284928
9/1/19 0:00,Paraguay,0.002415672
9/1/19 0:00,Ukraine,0.00296761
9/1/19 0:00,Georgia,0.003152941
9/1/19 0:00,Venezuela,0.004585093
9/1/19 0:00,Germany,0.009026063
9/1/19 0:00,Norway,0.009505261
9/1/19 0:00,Canada,0.010630223
9/1/19 0:00,Libya,0.011579957
9/1/19 0:00,Kazakhstan,0.014208908
9/1/19 0:00,"Iran, Islamic Rep.",0.017422141
9/1/19 0:00,Malaysia,0.032535129
9/1/19 0:00,United States,0.040608576
9/1/19 0:00,India,9.53E-05
9/1/19 0:00,South Africa,0.000417201
9/1/19 0:00,Mexico,0.000396804
9/1/19 0:00,Russian Federation,0.059284534
9/1/19 0:00,Switzerland,0.000371249
9/1/19 0:00,Czech Republic,0.000371992
9/1/19 0:00,Dominican Republic,9.75E-05
9/1/19 0:00,Belarus,0.000104195
9/1/19 0:00,Portugal,0.000109993
9/1/19 0:00,Greece,0.000125261
9/1/19 0:00,Kosovo,0.000126935
9/1/19 0:00,"Hong Kong SAR, China",0.000127586
9/1/19 0:00,Austria,0.000140119
9/1/19 0:00,Indonesia,0.000153826
9/1/19 0:00,Lithuania,0.000156942
9/1/19 0:00,Serbia,0.000167215
9/1/19 0:00,Laos,0.000176065
9/1/19 0:00,Poland,0.000216558
9/1/19 0:00,Singapore,0.000224055
9/1/19 0:00,Bhutan,9.69E-05
9/1/19 0:00,Peru,0.000237008
9/1/19 0:00,Latvia,0.000359269
9/1/19 0:00,Spain,0.00035531
9/1/19 0:00,Azerbaijan,0.000338801
9/1/19 0:00,"Egypt, Arab Rep.",0.000226405
9/1/19 0:00,Bulgaria,0.000312814
9/1/19 0:00,Turkey,0.000304879
9/1/19 0:00,Brazil,0.000322433
9/1/19 0:00,Estonia,0.000271362
9/1/19 0:00,Colombia,0.000260102
9/1/19 0:00,Bosnia and Herzegovina,0.000247869
9/1/19 0:00,Moldova,0.000243818
9/1/19 0:00,North Macedonia,0.000237919
9/1/19 0:00,"Korea, Rep.",0.000288623
10/1/19 0:00,Vietnam,3.74E-05
10/1/19 0:00,Qatar,3.53E-05
10/1/19 0:00,Iraq,2.85E-05
10/1/19 0:00,Japan,2.65E-05
10/1/19 0:00,New Zealand,2.19E-05
10/1/19 0:00,Cyprus,1.11E-05
10/1/19 0:00,Slovenia,1.84E-05
10/1/19 0:00,Ghana,1.78E-05
10/1/19 0:00,Bangladesh,1.52E-05
10/1/19 0:00,Syria,1.46E-05
10/1/19 0:00,Turkmenistan,1.44E-05
10/1/19 0:00,Sweden,9.40E-05
10/1/19 0:00,Croatia,1.95E-05
10/1/19 0:00,Bosnia and Herzegovina,3.82E-05
10/1/19 0:00,Montenegro,5.01E-05
10/1/19 0:00,Andorra,3.94E-05
10/1/19 0:00,Saudi Arabia,4.32E-05
10/1/19 0:00,Denmark,4.71E-05
10/1/19 0:00,Seychelles,4.90E-05
10/1/19 0:00,Lebanon,4.93E-05
10/1/19 0:00,Belgium,6.01E-05
10/1/19 0:00,Zimbabwe,7.09E-05
10/1/19 0:00,Myanmar,8.24E-05
10/1/19 0:00,"Hong Kong SAR, China",8.34E-05
10/1/19 0:00,Argentina,8.58E-05
10/1/19 0:00,Hungary,8.83E-05
10/1/19 0:00,Dominican Republic,8.98E-05
10/1/19 0:00,Philippines,1.03E-05
10/1/19 0:00,Australia,3.89E-05
10/1/19 0:00,Tajikistan,7.59E-06
10/1/19 0:00,Panama,1.78E-06
10/1/19 0:00,Bahrain,6.43E-06
10/1/19 0:00,Slovakia,9.49E-05
10/1/19 0:00,Kenya,0
10/1/19 0:00,Bermuda,0
10/1/19 0:00,Mozambique,5.17E-12
10/1/19 0:00,"Macau SAR, China",5.47E-09
10/1/19 0:00,British Virgin Islands,3.12E-08
10/1/19 0:00,El Salvador,1.55E-07
10/1/19 0:00,Lesotho,3.53E-07
10/1/19 0:00,Morocco,5.64E-07
10/1/19 0:00,Bolivia,8.04E-07
10/1/19 0:00,Sri Lanka,8.83E-07
10/1/19 0:00,Curacao,9.28E-07
10/1/19 0:00,Suriname,1.10E-06
10/1/19 0:00,Cameroon,6.96E-06
10/1/19 0:00,Ecuador,1.24E-06
10/1/19 0:00,Malawi,1.48E-06
10/1/19 0:00,Uruguay,2.35E-06
10/1/19 0:00,Nepal,2.59E-06
10/1/19 0:00,Luxembourg,2.64E-06
10/1/19 0:00,Ireland,2.66E-06
10/1/19 0:00,Chile,4.00E-06
10/1/19 0:00,Israel,4.00E-06
10/1/19 0:00,Pakistan,4.11E-06
10/1/19 0:00,Nigeria,4.65E-06
10/1/19 0:00,Costa Rica,4.89E-06
10/1/19 0:00,Guatemala,4.91E-06
10/1/19 0:00,Uganda,4.99E-06
10/1/19 0:00,Algeria,5.64E-06
10/1/19 0:00,Afghanistan,1.33E-06
10/1/19 0:00,Bhutan,9.63E-05
10/1/19 0:00,Angola,8.78E-06
10/1/19 0:00,Albania,0.000100419
10/1/19 0:00,Uzbekistan,0.000665852
10/1/19 0:00,Taiwan,0.00069391
10/1/19 0:00,Switzerland,0.000726667
10/1/19 0:00,Ethiopia,0.000747817
10/1/19 0:00,Trinidad and Tobago,0.000788424
10/1/19 0:00,Brunei,0.000789069
10/1/19 0:00,United Arab Emirates,0.000822697
10/1/19 0:00,United Kingdom,0.001033231
10/1/19 0:00,Netherlands,0.001098432
10/1/19 0:00,Armenia,0.001175005
10/1/19 0:00,Iceland,0.001248381
10/1/19 0:00,France,0.001268652
10/1/19 0:00,India,0.001652664
10/1/19 0:00,Singapore,0.000547045
10/1/19 0:00,Kyrgyzstan,0.001688132
10/1/19 0:00,Ukraine,0.002632198
10/1/19 0:00,Georgia,0.002742384
10/1/19 0:00,Thailand,0.004095472
10/1/19 0:00,Venezuela,0.004215619
10/1/19 0:00,Germany,0.00429925
10/1/19 0:00,Canada,0.006465575
10/1/19 0:00,Norway,0.008255267
10/1/19 0:00,Kazakhstan,0.013687007
10/1/19 0:00,Libya,0.014137248
10/1/19 0:00,"Iran, Islamic Rep.",0.01773565
10/1/19 0:00,Malaysia,0.032591031
10/1/19 0:00,United States,0.055767573
10/1/19 0:00,Russian Federation,0.058679234
10/1/19 0:00,Paraguay,0.002382597
10/1/19 0:00,Mongolia,0.000497675
10/1/19 0:00,Mainland China,0.747841011
10/1/19 0:00,Kuwait,0.000484451
10/1/19 0:00,Belarus,0.000101834
10/1/19 0:00,Austria,0.000106519
10/1/19 0:00,Poland,0.000109676
10/1/19 0:00,Finland,0.000112137
10/1/19 0:00,Serbia,0.000117856
10/1/19 0:00,Italy,0.000119298
10/1/19 0:00,Indonesia,0.00012096
10/1/19 0:00,Lithuania,0.0001392
10/1/19 0:00,Greece,0.000146098
10/1/19 0:00,Laos,0.000154582
10/1/19 0:00,Kosovo,0.000156629
10/1/19 0:00,"Korea, Rep.",0.000177537
10/1/19 0:00,Moldova,0.000221434
10/1/19 0:00,"Egypt, Arab Rep.",0.000242197
10/1/19 0:00,Portugal,9.65E-05
10/1/19 0:00,Spain,0.000256622
10/1/19 0:00,Bulgaria,0.000248649
10/1/19 0:00,Brazil,0.000377335
10/1/19 0:00,Turkey,0.000362164
10/1/19 0:00,Latvia,0.000359764
10/1/19 0:00,Mexico,0.000357327
10/1/19 0:00,Jordan,0.000344319
10/1/19 0:00,South Africa,0.000406744
10/1/19 0:00,Azerbaijan,0.000329668
10/1/19 0:00,Colombia,0.00030364
10/1/19 0:00,Peru,0.000284266
10/1/19 0:00,Czech Republic,0.000266948
10/1/19 0:00,Estonia,0.000265001
10/1/19 0:00,Romania,0.000336829
10/1/19 0:00,North Macedonia,0.000262777
11/1/19 0:00,Algeria,3.03E-05
11/1/19 0:00,New Zealand,2.88E-05
11/1/19 0:00,Andorra,2.74E-05
11/1/19 0:00,Slovenia,2.68E-05
11/1/19 0:00,Croatia,2.62E-05
11/1/19 0:00,Bangladesh,1.74E-05
11/1/19 0:00,Angola,1.76E-05
11/1/19 0:00,Ghana,1.68E-05
11/1/19 0:00,Turkmenistan,1.59E-05
11/1/19 0:00,Cyprus,1.51E-05
11/1/19 0:00,Japan,3.25E-05
11/1/19 0:00,Iraq,2.09E-05
11/1/19 0:00,Vietnam,3.36E-05
11/1/19 0:00,Lebanon,4.77E-05
11/1/19 0:00,Denmark,3.74E-05
11/1/19 0:00,Seychelles,4.00E-05
11/1/19 0:00,Australia,4.13E-05
11/1/19 0:00,Bosnia and Herzegovina,4.15E-05
11/1/19 0:00,Saudi Arabia,4.69E-05
11/1/19 0:00,Philippines,1.25E-05
11/1/19 0:00,Qatar,4.93E-05
11/1/19 0:00,Montenegro,5.40E-05
11/1/19 0:00,Myanmar,6.19E-05
11/1/19 0:00,"Hong Kong SAR, China",6.26E-05
11/1/19 0:00,Zimbabwe,7.63E-05
11/1/19 0:00,Hungary,8.15E-05
11/1/19 0:00,Austria,8.54E-05
11/1/19 0:00,Slovakia,9.55E-05
11/1/19 0:00,Belgium,3.60E-05
11/1/19 0:00,Tajikistan,8.21E-06
11/1/19 0:00,Chile,4.22E-06
11/1/19 0:00,Cameroon,6.54E-06
11/1/19 0:00,Portugal,0.000100132
11/1/19 0:00,Nepal,0
11/1/19 0:00,Botswana,0
11/1/19 0:00,Bhutan,0
11/1/19 0:00,Mozambique,2.82E-12
11/1/19 0:00,"Macau SAR, China",1.20E-08
11/1/19 0:00,British Virgin Islands,5.77E-08
11/1/19 0:00,El Salvador,3.11E-07
11/1/19 0:00,Lesotho,3.40E-07
11/1/19 0:00,Bolivia,6.22E-07
11/1/19 0:00,Panama,6.88E-07
11/1/19 0:00,Morocco,7.55E-07
11/1/19 0:00,Malawi,7.69E-07
11/1/19 0:00,Syria,7.78E-06
11/1/19 0:00,Curacao,1.07E-06
11/1/19 0:00,Ecuador,1.33E-06
11/1/19 0:00,West Bank,0
11/1/19 0:00,Suriname,2.01E-06
11/1/19 0:00,Israel,2.54E-06
11/1/19 0:00,Uruguay,2.57E-06
11/1/19 0:00,Ireland,2.59E-06
11/1/19 0:00,Bahrain,3.56E-06
11/1/19 0:00,Costa Rica,3.65E-06
11/1/19 0:00,Pakistan,3.80E-06
11/1/19 0:00,Uganda,4.23E-06
11/1/19 0:00,Guatemala,4.65E-06
11/1/19 0:00,Luxembourg,4.84E-06
11/1/19 0:00,Nigeria,5.75E-06
11/1/19 0:00,Sri Lanka,1.07E-06
11/1/19 0:00,Afghanistan,1.57E-06
11/1/19 0:00,Indonesia,0.000100618
11/1/19 0:00,Albania,0.000111438
11/1/19 0:00,Taiwan,0.000755241
11/1/19 0:00,Kuwait,0.00076117
11/1/19 0:00,United Arab Emirates,0.000773921
11/1/19 0:00,United Kingdom,0.000792041
11/1/19 0:00,Uzbekistan,0.000871568
11/1/19 0:00,Brunei,0.000899642
11/1/19 0:00,Trinidad and Tobago,0.000908973
11/1/19 0:00,France,0.001125922
11/1/19 0:00,Netherlands,0.001244827
11/1/19 0:00,Armenia,0.001249351
11/1/19 0:00,India,0.001602695
11/1/19 0:00,Kyrgyzstan,0.001751571
11/1/19 0:00,Iceland,0.002590259
11/1/19 0:00,Ethiopia,0.000751347
11/1/19 0:00,Georgia,0.002670437
11/1/19 0:00,Germany,0.003435113
11/1/19 0:00,Thailand,0.004418103
11/1/19 0:00,Venezuela,0.004825767
11/1/19 0:00,Norway,0.008630141
11/1/19 0:00,Canada,0.008684075
11/1/19 0:00,Libya,0.013547434
11/1/19 0:00,"Iran, Islamic Rep.",0.015998253
11/1/19 0:00,Kazakhstan,0.017071724
11/1/19 0:00,Malaysia,0.03664653
11/1/19 0:00,Russian Federation,0.062446213
11/1/19 0:00,United States,0.06580845
11/1/19 0:00,Mainland China,0.723274504
11/1/19 0:00,Poland,0.00010399
11/1/19 0:00,Ukraine,0.002774234
11/1/19 0:00,Mongolia,0.000746435
11/1/19 0:00,Paraguay,0.002168671
11/1/19 0:00,Switzerland,0.000572515
11/1/19 0:00,Serbia,0.000114341
11/1/19 0:00,Singapore,0.000659691
11/1/19 0:00,Dominican Republic,0.000126559
11/1/19 0:00,Argentina,0.000127493
11/1/19 0:00,Belarus,0.000129536
11/1/19 0:00,Laos,0.000136768
11/1/19 0:00,Kosovo,0.000145244
11/1/19 0:00,Greece,0.000145924
11/1/19 0:00,Lithuania,0.00015992
11/1/19 0:00,"Korea, Rep.",0.000210398
11/1/19 0:00,Bulgaria,0.000224929
11/1/19 0:00,Czech Republic,0.000228403
11/1/19 0:00,Italy,0.000229285
11/1/19 0:00,Jordan,0.00024259
11/1/19 0:00,Spain,0.000259621
11/1/19 0:00,Moldova,0.000207205
11/1/19 0:00,Mexico,0.000530692
11/1/19 0:00,Turkey,0.00053512
11/1/19 0:00,Peru,0.000261705
11/1/19 0:00,Finland,0.000499197
11/1/19 0:00,South Africa,0.000468929
11/1/19 0:00,Brazil,0.000381498
11/1/19 0:00,Sweden,0.000343479
11/1/19 0:00,Romania,0.000377948
11/1/19 0:00,Colombia,0.000299467
11/1/19 0:00,Azerbaijan,0.000298273
11/1/19 0:00,Latvia,0.000287459
11/1/19 0:00,North Macedonia,0.000282987
11/1/19 0:00,"Egypt, Arab Rep.",0.000281866
11/1/19 0:00,Estonia,0.000335432
12/1/19 0:00,Turkmenistan,2.16E-05
12/1/19 0:00,Australia,2.90E-05
12/1/19 0:00,New Zealand,2.80E-05
12/1/19 0:00,Croatia,2.72E-05
12/1/19 0:00,Slovenia,2.17E-05
12/1/19 0:00,Ghana,1.98E-05
12/1/19 0:00,Cameroon,1.46E-05
12/1/19 0:00,Luxembourg,1.92E-05
12/1/19 0:00,Niger,1.90E-05
12/1/19 0:00,Bangladesh,1.65E-05
12/1/19 0:00,Iraq,1.60E-05
12/1/19 0:00,Belgium,3.01E-05
12/1/19 0:00,Algeria,1.92E-05
12/1/19 0:00,Philippines,3.33E-05
12/1/19 0:00,Zimbabwe,8.59E-05
12/1/19 0:00,Qatar,3.95E-05
12/1/19 0:00,Lebanon,4.33E-05
12/1/19 0:00,Vietnam,4.39E-05
12/1/19 0:00,Bosnia and Herzegovina,4.52E-05
12/1/19 0:00,Angola,4.91E-05
12/1/19 0:00,Saudi Arabia,5.07E-05
12/1/19 0:00,Seychelles,5.09E-05
12/1/19 0:00,Montenegro,5.17E-05
12/1/19 0:00,Myanmar,5.24E-05
12/1/19 0:00,Japan,6.41E-05
12/1/19 0:00,Hungary,7.61E-05
12/1/19 0:00,Albania,7.87E-05
12/1/19 0:00,Poland,8.39E-05
12/1/19 0:00,Nigeria,1.05E-05
12/1/19 0:00,Denmark,3.86E-05
12/1/19 0:00,Ireland,6.89E-06
12/1/19 0:00,Yemen,0
12/1/19 0:00,Tajikistan,5.91E-06
12/1/19 0:00,"Hong Kong SAR, China",8.80E-05
12/1/19 0:00,West Bank,0
12/1/19 0:00,Mauritius,0
12/1/19 0:00,Malta,0
12/1/19 0:00,Cuba,0
12/1/19 0:00,Benin,0
12/1/19 0:00,Mozambique,1.10E-11
12/1/19 0:00,Jamaica,3.30E-11
12/1/19 0:00,Malawi,8.95E-11
12/1/19 0:00,"Macau SAR, China",3.82E-09
12/1/19 0:00,Puerto Rico,2.73E-08
12/1/19 0:00,Zambia,2.46E-07
12/1/19 0:00,El Salvador,3.15E-07
12/1/19 0:00,Lesotho,3.35E-07
12/1/19 0:00,Pakistan,6.75E-06
12/1/19 0:00,British Virgin Islands,4.78E-07
12/1/19 0:00,Sri Lanka,5.98E-07
12/1/19 0:00,Bolivia,7.84E-07
12/1/19 0:00,Ecuador,1.23E-06
12/1/19 0:00,Curacao,1.28E-06
12/1/19 0:00,Afghanistan,1.60E-06
12/1/19 0:00,Suriname,1.96E-06
12/1/19 0:00,Israel,2.78E-06
12/1/19 0:00,Costa Rica,2.90E-06
12/1/19 0:00,Uruguay,2.96E-06
12/1/19 0:00,Panama,3.72E-06
12/1/19 0:00,Honduras,4.44E-06
12/1/19 0:00,Chile,4.45E-06
12/1/19 0:00,Guatemala,4.50E-06
12/1/19 0:00,Cyprus,4.93E-06
12/1/19 0:00,Morocco,5.03E-07
12/1/19 0:00,Slovakia,8.90E-05
12/1/19 0:00,Bahrain,3.75E-06
12/1/19 0:00,Indonesia,9.39E-05
12/1/19 0:00,Singapore,0.00066071
12/1/19 0:00,Ethiopia,0.000672106
12/1/19 0:00,Uzbekistan,0.000725344
12/1/19 0:00,Trinidad and Tobago,0.000743556
12/1/19 0:00,Taiwan,0.000766088
12/1/19 0:00,United Arab Emirates,0.000936213
12/1/19 0:00,Kuwait,0.000936261
12/1/19 0:00,United Kingdom,0.000955413
12/1/19 0:00,Brunei,0.001103545
12/1/19 0:00,Armenia,0.001277993
12/1/19 0:00,France,0.001499263
12/1/19 0:00,Netherlands,0.001735967
12/1/19 0:00,Kyrgyzstan,0.001747572
12/1/19 0:00,Paraguay,0.002081156
12/1/19 0:00,India,0.002302875
12/1/19 0:00,Georgia,0.002654403
12/1/19 0:00,Ukraine,0.002801621
12/1/19 0:00,Iceland,0.002915373
12/1/19 0:00,Libya,0.003759874
12/1/19 0:00,Germany,0.004030301
12/1/19 0:00,Venezuela,0.004879328
12/1/19 0:00,Thailand,0.006672853
12/1/19 0:00,Norway,0.009919316
12/1/19 0:00,Canada,0.010271484
12/1/19 0:00,Kazakhstan,0.021761149
12/1/19 0:00,"Iran, Islamic Rep.",0.02714531
12/1/19 0:00,United States,0.038673188
12/1/19 0:00,Malaysia,0.039222009
12/1/19 0:00,Russian Federation,0.062292606
12/1/19 0:00,Mexico,0.000596283
12/1/19 0:00,South Africa,0.000500165
12/1/19 0:00,Mainland China,0.734560586
12/1/19 0:00,Switzerland,0.000434463
12/1/19 0:00,Sweden,0.000484997
12/1/19 0:00,Portugal,9.59E-05
12/1/19 0:00,Laos,9.87E-05
12/1/19 0:00,Belarus,0.000103429
12/1/19 0:00,Austria,0.000106402
12/1/19 0:00,Syria,0.000109592
12/1/19 0:00,Kosovo,0.000112854
12/1/19 0:00,Peru,0.000129107
12/1/19 0:00,Lithuania,0.000140851
12/1/19 0:00,Greece,0.000166984
12/1/19 0:00,Moldova,0.000169434
12/1/19 0:00,Dominican Republic,0.000173609
12/1/19 0:00,Czech Republic,0.000174081
12/1/19 0:00,Bulgaria,0.000178761
12/1/19 0:00,Jordan,0.000210816
12/1/19 0:00,Serbia,8.93E-05
12/1/19 0:00,Spain,0.000229533
12/1/19 0:00,Finland,0.000400213
12/1/19 0:00,Italy,0.000215034
12/1/19 0:00,Romania,0.000367536
12/1/19 0:00,Argentina,0.000365256
12/1/19 0:00,North Macedonia,0.000357875
12/1/19 0:00,Brazil,0.000348351
12/1/19 0:00,Turkey,0.000374281
12/1/19 0:00,"Egypt, Arab Rep.",0.000341504
12/1/19 0:00,Latvia,0.000231823
12/1/19 0:00,Estonia,0.000345327
12/1/19 0:00,Azerbaijan,0.000265046
12/1/19 0:00,"Korea, Rep.",0.000255132
12/1/19 0:00,Mongolia,0.000314453
12/1/19 0:00,Colombia,0.000295515
1/1/20 0:00,Australia,2.87E-05
1/1/20 0:00,Iraq,1.23E-05
1/1/20 0:00,Syria,1.48E-05
1/1/20 0:00,Cameroon,1.58E-05
1/1/20 0:00,Niger,9.65E-06
1/1/20 0:00,Bangladesh,1.87E-05
1/1/20 0:00,Slovenia,1.94E-05
1/1/20 0:00,New Zealand,2.05E-05
1/1/20 0:00,Ghana,2.07E-05
1/1/20 0:00,Croatia,2.54E-05
1/1/20 0:00,Philippines,2.56E-05
1/1/20 0:00,Algeria,2.60E-05
1/1/20 0:00,Denmark,2.88E-05
1/1/20 0:00,Saudi Arabia,5.68E-05
1/1/20 0:00,Lebanon,3.20E-05
1/1/20 0:00,Zimbabwe,8.15E-05
1/1/20 0:00,Belarus,8.00E-05
1/1/20 0:00,Peru,7.88E-05
1/1/20 0:00,Angola,7.58E-05
1/1/20 0:00,Albania,7.50E-05
1/1/20 0:00,Hungary,7.39E-05
1/1/20 0:00,Belgium,2.94E-05
1/1/20 0:00,Argentina,7.28E-05
1/1/20 0:00,Turkmenistan,5.72E-05
1/1/20 0:00,Pakistan,7.31E-06
1/1/20 0:00,Montenegro,5.24E-05
1/1/20 0:00,Qatar,4.92E-05
1/1/20 0:00,Vietnam,4.28E-05
1/1/20 0:00,Seychelles,3.52E-05
1/1/20 0:00,Myanmar,6.19E-05
1/1/20 0:00,Luxembourg,6.60E-06
1/1/20 0:00,Panama,4.61E-06
1/1/20 0:00,Tajikistan,5.64E-06
1/1/20 0:00,West Bank,0
1/1/20 0:00,Slovakia,9.04E-05
1/1/20 0:00,Nicaragua,0
1/1/20 0:00,Malta,0
1/1/20 0:00,Bermuda,0
1/1/20 0:00,Malawi,3.52E-11
1/1/20 0:00,Zambia,5.53E-08
1/1/20 0:00,Lesotho,8.58E-08
1/1/20 0:00,Honduras,9.15E-08
1/1/20 0:00,"Macau SAR, China",1.27E-07
1/1/20 0:00,Tanzania,1.77E-07
1/1/20 0:00,Morocco,3.17E-07
1/1/20 0:00,El Salvador,3.27E-07
1/1/20 0:00,Mauritius,5.46E-07
1/1/20 0:00,Guatemala,5.86E-06
1/1/20 0:00,Afghanistan,5.85E-07
1/1/20 0:00,Ecuador,1.24E-06
1/1/20 0:00,Puerto Rico,1.32E-06
1/1/20 0:00,Cyprus,1.51E-06
1/1/20 0:00,Suriname,1.93E-06
1/1/20 0:00,Curacao,2.35E-06
1/1/20 0:00,Ireland,3.31E-06
1/1/20 0:00,Costa Rica,3.79E-06
1/1/20 0:00,Chile,4.54E-06
1/1/20 0:00,Sri Lanka,4.56E-06
1/1/20 0:00,Israel,4.88E-06
1/1/20 0:00,Nigeria,4.90E-06
1/1/20 0:00,Bahrain,5.13E-06
1/1/20 0:00,Mali,5.13E-06
1/1/20 0:00,Uruguay,5.49E-06
1/1/20 0:00,Bolivia,7.58E-07
1/1/20 0:00,Benin,1.45E-06
1/1/20 0:00,Czech Republic,9.12E-05
1/1/20 0:00,Portugal,9.87E-05
1/1/20 0:00,Ethiopia,0.000596578
1/1/20 0:00,Uzbekistan,0.000620626
1/1/20 0:00,Jordan,0.000705223
1/1/20 0:00,"Hong Kong SAR, China",0.000788098
1/1/20 0:00,United Arab Emirates,0.000953107
1/1/20 0:00,United Kingdom,0.000990072
1/1/20 0:00,Kuwait,0.001022695
1/1/20 0:00,Armenia,0.001114952
1/1/20 0:00,Iceland,0.001212143
1/1/20 0:00,Brunei,0.001300227
1/1/20 0:00,Netherlands,0.001354833
1/1/20 0:00,Kyrgyzstan,0.001458622
1/1/20 0:00,France,0.00147257
1/1/20 0:00,Paraguay,0.001791574
1/1/20 0:00,India,0.002209576
1/1/20 0:00,Ukraine,0.002510518
1/1/20 0:00,Georgia,0.002604113
1/1/20 0:00,Germany,0.003830757
1/1/20 0:00,Venezuela,0.004952916
1/1/20 0:00,Thailand,0.005475235
1/1/20 0:00,Norway,0.01010918
1/1/20 0:00,Canada,0.010583244
1/1/20 0:00,"Iran, Islamic Rep.",0.032042593
1/1/20 0:00,United States,0.034393433
1/1/20 0:00,Kazakhstan,0.034851109
1/1/20 0:00,Malaysia,0.041342954
1/1/20 0:00,Russian Federation,0.06045099
1/1/20 0:00,Mainland China,0.726858774
1/1/20 0:00,Japan,9.74E-05
1/1/20 0:00,Taiwan,0.000567847
1/1/20 0:00,Singapore,0.000560795
1/1/20 0:00,Libya,0.001732631
1/1/20 0:00,Mexico,0.0005158
1/1/20 0:00,Poland,0.000101065
1/1/20 0:00,South Africa,0.000537218
1/1/20 0:00,Austria,0.000102671
1/1/20 0:00,Laos,0.000107192
1/1/20 0:00,Kosovo,0.000113603
1/1/20 0:00,Serbia,0.000116145
1/1/20 0:00,Indonesia,0.000116235
1/1/20 0:00,Bosnia and Herzegovina,0.000145652
1/1/20 0:00,Bulgaria,0.000145982
1/1/20 0:00,Dominican Republic,0.000175192
1/1/20 0:00,Italy,0.000177328
1/1/20 0:00,Moldova,0.000181561
1/1/20 0:00,Latvia,0.000196929
1/1/20 0:00,Mongolia,0.00021028
1/1/20 0:00,Greece,0.000210813
1/1/20 0:00,Lithuania,0.000148458
